id,link,content,date,retweets,favorites,mentions,hashtags
1698308935,https://twitter.com/realDonaldTrump/status/1698308935,Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!,2009-05-04 13:54:25,510,917,,
1701461182,https://twitter.com/realDonaldTrump/status/1701461182,Donald Trump will be appearing on The View tomorrow morning to discuss Celebrity Apprentice and his new book Think Like A Champion!,2009-05-04 20:00:10,34,267,,
1737479987,https://twitter.com/realDonaldTrump/status/1737479987,Donald Trump reads Top Ten Financial Tips on Late Show with David Letterman: http://tinyurl.com/ooafwn - Very funny!,2009-05-08 08:38:08,13,19,,
1741160716,https://twitter.com/realDonaldTrump/status/1741160716,New Blog Post: Celebrity Apprentice Finale and Lessons Learned Along the Way: http://tinyurl.com/qlux5e,2009-05-08 15:40:15,11,26,,
1773561338,https://twitter.com/realDonaldTrump/status/1773561338,"""My persona will never be that of a wallflower - I’d rather build walls than cling to them"" --Donald J. Trump",2009-05-12 09:07:28,1375,1945,,
1776419923,https://twitter.com/realDonaldTrump/status/1776419923,"Miss USA Tara Conner will not be fired - ""I've always been a believer in second chances."" says Donald Trump",2009-05-12 14:21:55,29,28,,
1786560616,https://twitter.com/realDonaldTrump/status/1786560616,"Listen to an interview with Donald Trump discussing his new book, Think Like A Champion: http://tinyurl.com/qs24vl",2009-05-13 12:38:28,15,16,,
1796477499,https://twitter.com/realDonaldTrump/status/1796477499,"""Strive for wholeness and keep your sense of wonder intact."" --Donald J. Trump http://tinyurl.com/pqpfvm",2009-05-14 11:30:40,18,27,,
1806258917,https://twitter.com/realDonaldTrump/status/1806258917,"Enter the ""Think Like A Champion"" signed book and keychain contest: http://www.trumpthinklikeachampion.com/contest/",2009-05-15 09:13:13,15,9,,
1820624395,https://twitter.com/realDonaldTrump/status/1820624395,"""When the achiever achieves, it's not a plateau, it’s a beginning."" --Donald J. Trump http://tinyurl.com/pqpfvm",2009-05-16 17:22:45,19,47,,
